,tweet
10,Were so excited for todays performance at birminghamrep ####Were=O so=O excited=O for=O todays=O performance=O at=O birminghamrep=O 
11,Dance Track is generously suppor ####Dance=O Track=O is=O generously=O suppor=O 
12,RT xrrebelradio So up date from this mornings show Mitch form the Barclays AGM action SirDavidKing has agreed to make the present ####RT=O xrrebelradio=O So=O up=O date=O from=O this=O mornings=O show=O Mitch=O form=O the=O Barclays=O AGM=O action=O SirDavidKing=O has=O agreed=O to=O make=O the=O present=O 
13,HSBCUK ####HSBCUK=O 
14,When can I expect the interest on my current and savings accounts to go up this much ####When=O can=O I=O expect=O the=O interest=O on=O my=O current=O and=O savings=O accounts=O to=O go=O up=O this=O much=O 
15,Do you not like my business httpstcoCoDAaMAWT ####Do=O you=O not=O like=O my=O business=O httpstcoCoDAaMAWT=O 
16,HSBCUK hi is there a way I can amend the date a direct debit is paid within the app All I can see is to cancel rather than change ####HSBCUK=O hi=O is=O there=O a=O way=O I=O can=O amend=O the=O date=O a=O direct=O debit=O is=O paid=O within=O the=O app=O All=O I=O can=O see=O is=O to=O cancel=O rather=O than=O change=O 
17,JohnKwanTech TWSCambridge HSBCUK Oh this is great to see Yes This was in my paper in ####JohnKwanTech=O TWSCambridge=O HSBCUK=O Oh=O this=O is=O great=O to=O see=O Yes=O This=O was=O in=O my=O paper=O in=O 
18,RT MarkusVisa HSBCUK financialombuds BBCWatchdog RipOffBritain RipoffReport Reading through the full details of this today and the ####RT=O MarkusVisa=O HSBCUK=O financialombuds=O BBCWatchdog=O RipOffBritain=O RipoffReport=O Reading=O through=O the=O full=O details=O of=O this=O today=O and=O the=O 
19,Hi HSBC HSBCUK HSBCUAE is this related to you SABBeCare SABBBank since April my issue did not solve so on last call after  minutes they close the line Saudi Hollandi Bank SaudiHollandi was a much better from this horrible experience httpstcokjQFGf ####Hi=O HSBC=O HSBCUK=O HSBCUAE=O is=O this=O related=O to=O you=O SABBeCare=O SABBBank=O since=O April=O my=O issue=O did=O not=O solve=O so=O on=O last=O call=O after=O =O minutes=O they=O close=O the=O line=O Saudi=O Hollandi=O Bank=O SaudiHollandi=O was=O a=O much=O better=O from=O this=O horrible=O experience=O httpstcokjQFGf=O 
20,HSBCUK can someone please sort the sorry mess of my account switch No security ID sent to me or pin for my card No one will speak to me because I have none of the above Appalling service so far ####HSBCUK=O can=O someone=O please=O sort=O the=O sorry=O mess=O of=O my=O account=O switch=O No=O security=O ID=O sent=O to=O me=O or=O pin=O for=O my=O card=O No=O one=O will=O speak=O to=O me=O because=O I=O have=O none=O of=O the=O above=O Appalling=O service=O so=O far=O 
21,HSBCUK the switch of my account to HSBC has been disastrous The customer agent was nothing short of useless No security ID sent to me or Pin so I cannot access my account or speak to anyone because I have none of the above Pathetic disorganised worst Bank ever ####HSBCUK=O the=O switch=O of=O my=O account=O to=O HSBC=O has=O been=O disastrous=O The=O customer=O agent=O was=O nothing=O short=O of=O useless=O No=O security=O ID=O sent=O to=O me=O or=O Pin=O so=O I=O cannot=O access=O my=O account=O or=O speak=O to=O anyone=O because=O I=O have=O none=O of=O the=O above=O Pathetic=O disorganised=O worst=O Bank=O ever=O 
22,HSBCUK Im furious with HSBC I requested a switch from my Santander ac to HSBC what a big mistake I cannot speak to anyone because they didn't bother to send me Security Banking ID or a pin for my card I cannot access my account and the call agent wont verify me ####HSBCUK=O Im=O furious=O with=O HSBC=O I=O requested=O a=O switch=O from=O my=O Santander=O ac=O to=O HSBC=O what=O a=O big=O mistake=O I=O cannot=O speak=O to=O anyone=O because=O they=O didn't=O bother=O to=O send=O me=O Security=O Banking=O ID=O or=O a=O pin=O for=O my=O card=O I=O cannot=O access=O my=O account=O and=O the=O call=O agent=O wont=O verify=O me=O 
23,Foreign companies like HSBC HSBCEG operating in Egypt seem to treat Egyptians and Egyptian enterprises differentlymore specifically worsethan they would treat say British companies in the UK Like does HSBCUK not provide banking to startups there investinegypt ####Foreign=O companies=O like=O HSBC=O HSBCEG=O operating=O in=O Egypt=O seem=O to=O treat=O Egyptians=O and=O Egyptian=O enterprises=O differentlymore=O specifically=O worsethan=O they=O would=O treat=O say=O British=O companies=O in=O the=O UK=O Like=O does=O HSBCUK=O not=O provide=O banking=O to=O startups=O there=O investinegypt=O 
24,RT BRB Happy th Birthday Dance Track ####RT=O BRB=O Happy=O th=O Birthday=O Dance=O Track=O 
25,Were so excited for todays performance at birminghamrep ####Were=O so=O excited=O for=O todays=O performance=O at=O birminghamrep=O 
26,Dance Track is generously suppor ####Dance=O Track=O is=O generously=O suppor=O 
27,HSBCUK financialombuds BBCWatchdog RipOffBritain RipoffReport Reading through the full details of this today and the response from HSBCs Fraud Team show this to be an absolute farce All of this will come to light and the appalling treatment of an old age pensioner by HSBC Truly shocking ####HSBCUK=O financialombuds=O BBCWatchdog=O RipOffBritain=O RipoffReport=O Reading=O through=O the=O full=O details=O of=O this=O today=O and=O the=O response=O from=O HSBCs=O Fraud=O Team=O show=O this=O to=O be=O an=O absolute=O farce=O All=O of=O this=O will=O come=O to=O light=O and=O the=O appalling=O treatment=O of=O an=O old=O age=O pensioner=O by=O HSBC=O Truly=O shocking=O 
28,RT BRB Happy th Birthday Dance Track ####RT=O BRB=O Happy=O th=O Birthday=O Dance=O Track=O 
29,Were so excited for todays performance at birminghamrep ####Were=O so=O excited=O for=O todays=O performance=O at=O birminghamrep=O 
30,Dance Track is generously suppor ####Dance=O Track=O is=O generously=O suppor=O 
31,advicerenters Worth looking into this innovation by HSBCUK for those that are homeless and without fixed address httpstcoZoJjvuHzM ####advicerenters=O Worth=O looking=O into=O this=O innovation=O by=O HSBCUK=O for=O those=O that=O are=O homeless=O and=O without=O fixed=O address=O httpstcoZoJjvuHzM=O 
32,HSBCUK THIS IS OUTRAGEOUS this is the fourth time your have stopped payments for our wedding Your have caused a lot of trouble on our wedding day ####HSBCUK=O THIS=O IS=O OUTRAGEOUS=O this=O is=O the=O fourth=O time=O your=O have=O stopped=O payments=O for=O our=O wedding=O Your=O have=O caused=O a=O lot=O of=O trouble=O on=O our=O wedding=O day=O 
33,No Fixed Address Bank Account | Homelessness  HSBC UK httpstcohfQhdsto ####No=O Fixed=O Address=O Bank=O Account=O |=O Homelessness=O =O HSBC=O UK=O httpstcohfQhdsto=O 
34,RT BRB Happy th Birthday Dance Track ####RT=O BRB=O Happy=O th=O Birthday=O Dance=O Track=O 
35,Were so excited for todays performance at birminghamrep ####Were=O so=O excited=O for=O todays=O performance=O at=O birminghamrep=O 
36,Dance Track is generously suppor ####Dance=O Track=O is=O generously=O suppor=O 
37,Happy th Birthday Dance Track ####Happy=O th=O Birthday=O Dance=O Track=O 
38,Were so excited for todays performance at birminghamrep ####Were=O so=O excited=O for=O todays=O performance=O at=O birminghamrep=O 
39,Dance Track is generously supported by HSBCUK UK ####Dance=O Track=O is=O generously=O supported=O by=O HSBCUK=O UK=O 
40,DaysofDT httpstcoAIRJhIqH ####DaysofDT=O httpstcoAIRJhIqH=O 
41,BritishCycling hi do HSBCUK still give free British cycling membership If yes how do I find this Thanks ####BritishCycling=O hi=O do=O HSBCUK=O still=O give=O free=O British=O cycling=O membership=O If=O yes=O how=O do=O I=O find=O this=O Thanks=O 
42,Want to be your own boss ####Want=O to=O be=O your=O own=O boss=O 
43,Download The StartUp Kit for a free guide on how to ####Download=O The=O StartUp=O Kit=O for=O a=O free=O guide=O on=O how=O to=O 
44,Prepare to start your business ####Prepare=O to=O start=O your=O business=O 
45,Launch your business ####Launch=O your=O business=O 
46,Grow your business ####Grow=O your=O business=O 
47,Download the kit  httpstcotIfbxgDpP ####Download=O the=O kit=O =O httpstcotIfbxgDpP=O 
48,In partnership with HSBCUK currysbusiness QuickBooksUK  httpstconGEkRqwBu ####In=O partnership=O with=O HSBCUK=O currysbusiness=O QuickBooksUK=O =O httpstconGEkRqwBu=O 
49,Dont know if this is a genius idea or a sad observation of the state of our society today ####Dont=O know=O if=O this=O is=O a=O genius=O idea=O or=O a=O sad=O observation=O of=O the=O state=O of=O our=O society=O today=O 
50,HSBCUK offers no fixed address bank accounts ####HSBCUK=O offers=O no=O fixed=O address=O bank=O accounts=O 
51,httpstcoDqUCSAsZ ####httpstcoDqUCSAsZ=O 
52,HSBCUK why oh why is your mobile banking app so big x size of other banks httpstcotEkXyRR ####HSBCUK=O why=O oh=O why=O is=O your=O mobile=O banking=O app=O so=O big=O x=O size=O of=O other=O banks=O httpstcotEkXyRR=O 
53,HSBCUK when will you be opening childrens accounts again ####HSBCUK=O when=O will=O you=O be=O opening=O childrens=O accounts=O again=O 
54,freethinkinvybz PattyDarl HSBCUK httpstcoBvPMDVA ####freethinkinvybz=O PattyDarl=O HSBCUK=O httpstcoBvPMDVA=O 
55,HSBCUK if u legit don't sort out the problems my husband is having with the switching service then I will divorce him I will blame you He is to grumpy to deal with ####HSBCUK=O if=O u=O legit=O don't=O sort=O out=O the=O problems=O my=O husband=O is=O having=O with=O the=O switching=O service=O then=O I=O will=O divorce=O him=O I=O will=O blame=O you=O He=O is=O to=O grumpy=O to=O deal=O with=O 
56,HSBCUK Ive not been able to open the App on Pixel  for a week crashes on attempt Known issue Thanks ####HSBCUK=O Ive=O not=O been=O able=O to=O open=O the=O App=O on=O Pixel=O =O for=O a=O week=O crashes=O on=O attempt=O Known=O issue=O Thanks=O 
57,RT moneyrebellion BREAKING ABBA FLASH MOB DISRUPTS OILY HSBCUK CHAIRMANS SPEECH ####RT=O moneyrebellion=O BREAKING=O ABBA=O FLASH=O MOB=O DISRUPTS=O OILY=O HSBCUK=O CHAIRMANS=O SPEECH=O 
58,DefundClimateChaos MoneyRebellion NetZeroBankin ####DefundClimateChaos=O MoneyRebellion=O NetZeroBankin=O 
59,HSBCUK I would Steve but there is no link to send you a private message ####HSBCUK=O I=O would=O Steve=O but=O there=O is=O no=O link=O to=O send=O you=O a=O private=O message=O 
60,RT moneyrebellion BREAKING ABBA FLASH MOB DISRUPTS OILY HSBCUK CHAIRMANS SPEECH ####RT=O moneyrebellion=O BREAKING=O ABBA=O FLASH=O MOB=O DISRUPTS=O OILY=O HSBCUK=O CHAIRMANS=O SPEECH=O 
61,DefundClimateChaos MoneyRebellion NetZeroBankin ####DefundClimateChaos=O MoneyRebellion=O NetZeroBankin=O 
62,HSBCUK ClareDonachie I got the same thing several times by trying to make one payment Tried to pay via website and it says I have the same payment scheduled already Nothing shows up on my account ####HSBCUK=O ClareDonachie=O I=O got=O the=O same=O thing=O several=O times=O by=O trying=O to=O make=O one=O payment=O Tried=O to=O pay=O via=O website=O and=O it=O says=O I=O have=O the=O same=O payment=O scheduled=O already=O Nothing=O shows=O up=O on=O my=O account=O 
63,UNEP  Ditch Barclays HSBCUK say yes to triodosuk  Dont buy new phones consider Fairphone even tho service is crap  Dont vote Tory in general elections will accelerate climate problems  OctopusEnergy if youre in the UK ####UNEP=O =O Ditch=O Barclays=O HSBCUK=O say=O yes=O to=O triodosuk=O =O Dont=O buy=O new=O phones=O consider=O Fairphone=O even=O tho=O service=O is=O crap=O =O Dont=O vote=O Tory=O in=O general=O elections=O will=O accelerate=O climate=O problems=O =O OctopusEnergy=O if=O youre=O in=O the=O UK=O 
64,HSBCUK I keep getting a white screen everytime I log in using android phone then it completely closes Whats happening ####HSBCUK=O I=O keep=O getting=O a=O white=O screen=O everytime=O I=O log=O in=O using=O android=O phone=O then=O it=O completely=O closes=O Whats=O happening=O 
65,RT BRB Last minute preparation for tomorrows Dance Track performance  BirminghamRep ####RT=O BRB=O Last=O minute=O preparation=O for=O tomorrows=O Dance=O Track=O performance=O =O BirminghamRep=O 
66,DaysofDT ####DaysofDT=O 
67,Dance Track is generously supporte ####Dance=O Track=O is=O generously=O supporte=O 
68,RT smartyfish OR go to another bank ####RT=O smartyfish=O OR=O go=O to=O another=O bank=O 
69,HSBCUK provided   billion of financing to some of the worlds worst deforesters between ####HSBCUK=O provided=O =O =O billion=O of=O financing=O to=O some=O of=O the=O worlds=O worst=O deforesters=O between=O 
70,RT BRB Last minute preparation for tomorrows Dance Track performance  BirminghamRep ####RT=O BRB=O Last=O minute=O preparation=O for=O tomorrows=O Dance=O Track=O performance=O =O BirminghamRep=O 
71,DaysofDT ####DaysofDT=O 
72,Dance Track is generously supporte ####Dance=O Track=O is=O generously=O supporte=O 
73,Last minute preparation for tomorrows Dance Track performance  BirminghamRep ####Last=O minute=O preparation=O for=O tomorrows=O Dance=O Track=O performance=O =O BirminghamRep=O 
74,DaysofDT ####DaysofDT=O 
75,Dance Track is generously supported by HSBCUK httpstcopcSuKPR ####Dance=O Track=O is=O generously=O supported=O by=O HSBCUK=O httpstcopcSuKPR=O 
76,HSBCUK hi can you help on DMs pls ####HSBCUK=O hi=O can=O you=O help=O on=O DMs=O pls=O 
77,RT moneyrebellion BREAKING ABBA FLASH MOB DISRUPTS OILY HSBCUK CHAIRMANS SPEECH ####RT=O moneyrebellion=O BREAKING=O ABBA=O FLASH=O MOB=O DISRUPTS=O OILY=O HSBCUK=O CHAIRMANS=O SPEECH=O 
78,DefundClimateChaos MoneyRebellion NetZeroBankin ####DefundClimateChaos=O MoneyRebellion=O NetZeroBankin=O 
79,HSBCUK Your recommended solicitor Optima have had six months to process my mortgage with you and its now falling through Why are you using Optima Legal they are completely incompetent ####HSBCUK=O Your=O recommended=O solicitor=O Optima=O have=O had=O six=O months=O to=O process=O my=O mortgage=O with=O you=O and=O its=O now=O falling=O through=O Why=O are=O you=O using=O Optima=O Legal=O they=O are=O completely=O incompetent=O 
80,HSBCUK Hello Steve whats your tweet handle ####HSBCUK=O Hello=O Steve=O whats=O your=O tweet=O handle=O 
81,RT animalequality Is your money funding animal abuse ####RT=O animalequality=O Is=O your=O money=O funding=O animal=O abuse=O 
82,If you bank with HSBCUK youll want to read this ####If=O you=O bank=O with=O HSBCUK=O youll=O want=O to=O read=O this=O 
83,httpstcohKLriOeOw ####httpstcohKLriOeOw=O 
84,RT RAN ICYMI  Last week activists disrupted HSBCUKs annual shareholder meeting with an updated rendition of ABBAs Money Money Money ####RT=O RAN=O ICYMI=O =O Last=O week=O activists=O disrupted=O HSBCUKs=O annual=O shareholder=O meeting=O with=O an=O updated=O rendition=O of=O ABBAs=O Money=O Money=O Money=O 
85,HSBCUK Thank you I can access my banking acc etc Nothing strange with the app it self just since this am my card is not working apple pay doesnt work and no tap functions ####HSBCUK=O Thank=O you=O I=O can=O access=O my=O banking=O acc=O etc=O Nothing=O strange=O with=O the=O app=O it=O self=O just=O since=O this=O am=O my=O card=O is=O not=O working=O apple=O pay=O doesnt=O work=O and=O no=O tap=O functions=O 
86,HSBCUK Hi Desi I tried to do a card payment at the shop and it is not working My card is now also not working ####HSBCUK=O Hi=O Desi=O I=O tried=O to=O do=O a=O card=O payment=O at=O the=O shop=O and=O it=O is=O not=O working=O My=O card=O is=O now=O also=O not=O working=O 
87,antonioguterres DavidMalpassWBG KGeorgieva I am the HEIRS of KING JAO PHILIP MORRISS I am the TRUE HEADKING amp Owner of ALPHA OMEGA MOTHER UMBRELLA HERITAGE DEPOSITED ACCOUNTS AROUND THE WORLD bankofengland HSBCUK BarclaysUK Citibank UBS jpmorgan Chase BangkoSentral httpstcoUBBHNmNHK ####antonioguterres=O DavidMalpassWBG=O KGeorgieva=O I=O am=O the=O HEIRS=O of=O KING=O JAO=O PHILIP=O MORRISS=O I=O am=O the=O TRUE=O HEADKING=O amp=O Owner=O of=O ALPHA=O OMEGA=O MOTHER=O UMBRELLA=O HERITAGE=O DEPOSITED=O ACCOUNTS=O AROUND=O THE=O WORLD=O bankofengland=O HSBCUK=O BarclaysUK=O Citibank=O UBS=O jpmorgan=O Chase=O BangkoSentral=O httpstcoUBBHNmNHK=O 
88,RT RAN ICYMI  Last week activists disrupted HSBCUKs annual shareholder meeting with an updated rendition of ABBAs Money Money Money ####RT=O RAN=O ICYMI=O =O Last=O week=O activists=O disrupted=O HSBCUKs=O annual=O shareholder=O meeting=O with=O an=O updated=O rendition=O of=O ABBAs=O Money=O Money=O Money=O 
89,HSBCUK Covindoku  is released in kobo and Amazon Enjoy your navigation and travelling experience in math puzzle during leisure time and sharpening mind ####HSBCUK=O Covindoku=O =O is=O released=O in=O kobo=O and=O Amazon=O Enjoy=O your=O navigation=O and=O travelling=O experience=O in=O math=O puzzle=O during=O leisure=O time=O and=O sharpening=O mind=O 
90,HSBCUK NOW you have a dumb chatbot for chat and if I need to chat to an agent I need to login to the app I CANT LOG TO THE APP SOME smart alternatives ####HSBCUK=O NOW=O you=O have=O a=O dumb=O chatbot=O for=O chat=O and=O if=O I=O need=O to=O chat=O to=O an=O agent=O I=O need=O to=O login=O to=O the=O app=O I=O CANT=O LOG=O TO=O THE=O APP=O SOME=O smart=O alternatives=O 
91,Huge great HSBC HSBCUK in Newcastle city centre Zero services offered Honestly its been years since HSBC has answered any request positively Thank God for StarlingBank ####Huge=O great=O HSBC=O HSBCUK=O in=O Newcastle=O city=O centre=O Zero=O services=O offered=O Honestly=O its=O been=O years=O since=O HSBC=O has=O answered=O any=O request=O positively=O Thank=O God=O for=O StarlingBank=O 
92,Thank you HSBCUK  we walked into our local branch with our Ukrainian refugee documents and came out with a bank account and online banking  You were helpful and understanding NatWest branch were unhelpful tried to fob us off to sign up online even though we printed ####Thank=O you=O HSBCUK=O =O we=O walked=O into=O our=O local=O branch=O with=O our=O Ukrainian=O refugee=O documents=O and=O came=O out=O with=O a=O bank=O account=O and=O online=O banking=O =O You=O were=O helpful=O and=O understanding=O NatWest=O branch=O were=O unhelpful=O tried=O to=O fob=O us=O off=O to=O sign=O up=O online=O even=O though=O we=O printed=O 
93,Thank you HSBCUK for your support it will make such a difference for the women of Dudley httpstcohCUnIuNwp ####Thank=O you=O HSBCUK=O for=O your=O support=O it=O will=O make=O such=O a=O difference=O for=O the=O women=O of=O Dudley=O httpstcohCUnIuNwp=O 
94,HSBCUK Er I know now HSBCUK The branch told me My point is that its not mentioned on your website Documents to bring should state Marriage certificate and Photo ID so that its absolutely clear hsbc misinformation ####HSBCUK=O Er=O I=O know=O now=O HSBCUK=O The=O branch=O told=O me=O My=O point=O is=O that=O its=O not=O mentioned=O on=O your=O website=O Documents=O to=O bring=O should=O state=O Marriage=O certificate=O and=O Photo=O ID=O so=O that=O its=O absolutely=O clear=O hsbc=O misinformation=O 
95,HSBCUK I have been following up with HSBC phone banking from  weeks for my refund from CompleteSavings which was processed on  Cant see refund amount yet in my account ####HSBCUK=O I=O have=O been=O following=O up=O with=O HSBC=O phone=O banking=O from=O =O weeks=O for=O my=O refund=O from=O CompleteSavings=O which=O was=O processed=O on=O =O Cant=O see=O refund=O amount=O yet=O in=O my=O account=O 
96,HSBCUK Ive not had my telephone banking number sent for my new account so can't set up online banking or do anything ####HSBCUK=O Ive=O not=O had=O my=O telephone=O banking=O number=O sent=O for=O my=O new=O account=O so=O can't=O set=O up=O online=O banking=O or=O do=O anything=O 
97,RT RAN ICYMI  Last week activists disrupted HSBCUKs annual shareholder meeting with an updated rendition of ABBAs Money Money Money ####RT=O RAN=O ICYMI=O =O Last=O week=O activists=O disrupted=O HSBCUKs=O annual=O shareholder=O meeting=O with=O an=O updated=O rendition=O of=O ABBAs=O Money=O Money=O Money=O 
98,HSBCUK awful service Go to Bournemouth branch which states full service Wait  minutes in a queue to be told I can't withdraw cash from a charity account Maybe don't advertise full services when that is a lie wasteoftime ####HSBCUK=O awful=O service=O Go=O to=O Bournemouth=O branch=O which=O states=O full=O service=O Wait=O =O minutes=O in=O a=O queue=O to=O be=O told=O I=O can't=O withdraw=O cash=O from=O a=O charity=O account=O Maybe=O don't=O advertise=O full=O services=O when=O that=O is=O a=O lie=O wasteoftime=O 
99,HSBCUK I am about to cancel my wages going into my new account with you after an absolute farce of a month trying to gain access to them with your OTT security online and useless telephone service an absolute joke Such a waste of my time ####HSBCUK=O I=O am=O about=O to=O cancel=O my=O wages=O going=O into=O my=O new=O account=O with=O you=O after=O an=O absolute=O farce=O of=O a=O month=O trying=O to=O gain=O access=O to=O them=O with=O your=O OTT=O security=O online=O and=O useless=O telephone=O service=O an=O absolute=O joke=O Such=O a=O waste=O of=O my=O time=O 
100,HSBCUK Ok will try doing that Desi Thank you ####HSBCUK=O Ok=O will=O try=O doing=O that=O Desi=O Thank=O you=O 
101,HSBCUK The banking app did say that you guys have updated the system and a new secure jey had to be created But even after doing that it still did not work ####HSBCUK=O The=O banking=O app=O did=O say=O that=O you=O guys=O have=O updated=O the=O system=O and=O a=O new=O secure=O jey=O had=O to=O be=O created=O But=O even=O after=O doing=O that=O it=O still=O did=O not=O work=O 
102,HSBCUK I was not asked in to verify with a pin at all ####HSBCUK=O I=O was=O not=O asked=O in=O to=O verify=O with=O a=O pin=O at=O all=O 
103,HSBCUK I tried making ine payment buy a movie then tried to reserve an uber both declined via apple pay Tap function also not working ####HSBCUK=O I=O tried=O making=O ine=O payment=O buy=O a=O movie=O then=O tried=O to=O reserve=O an=O uber=O both=O declined=O via=O apple=O pay=O Tap=O function=O also=O not=O working=O 
104,HSBCUK  days and counting ####HSBCUK=O =O days=O and=O counting=O 
105,isthisallowed found bitcoin in a User vault at this location Join me playing coinhuntworld Its awesome httpstcojupQmdOee cryptocurrency  HSBCUK httpstcozKEkLhyo ####isthisallowed=O found=O bitcoin=O in=O a=O User=O vault=O at=O this=O location=O Join=O me=O playing=O coinhuntworld=O Its=O awesome=O httpstcojupQmdOee=O cryptocurrency=O =O HSBCUK=O httpstcozKEkLhyo=O 
106,HSBCUK Our Homes for Ukraine guests are in an HSBC branch right now having great difficulty opening an account Theyve been asked for a council tax bill which they can't possibly have Govt guidance says they only need proof of identity httpstcoSoIOhSz ####HSBCUK=O Our=O Homes=O for=O Ukraine=O guests=O are=O in=O an=O HSBC=O branch=O right=O now=O having=O great=O difficulty=O opening=O an=O account=O Theyve=O been=O asked=O for=O a=O council=O tax=O bill=O which=O they=O can't=O possibly=O have=O Govt=O guidance=O says=O they=O only=O need=O proof=O of=O identity=O httpstcoSoIOhSz=O 
107,RT animalequality Is your money funding animal abuse ####RT=O animalequality=O Is=O your=O money=O funding=O animal=O abuse=O 
108,If you bank with HSBCUK youll want to read this ####If=O you=O bank=O with=O HSBCUK=O youll=O want=O to=O read=O this=O 
109,httpstcohKLriOeOw ####httpstcohKLriOeOw=O 
110,HSBCUK pick up your phones  Dreadful service  Holding now for over  minutes for the so called  Fraud department ####HSBCUK=O pick=O up=O your=O phones=O =O Dreadful=O service=O =O Holding=O now=O for=O over=O =O minutes=O for=O the=O so=O called=O =O Fraud=O department=O 
111,RT BirminghamPride THE SATURDAY DANCE ARENA LINE UP ####RT=O BirminghamPride=O THE=O SATURDAY=O DANCE=O ARENA=O LINE=O UP=O 
112,BirminghamPride supported by HSBCUK is proud to present our Saturday Da ####BirminghamPride=O supported=O by=O HSBCUK=O is=O proud=O to=O present=O our=O Saturday=O Da=O 
113,RT enation Join a free StartUp Saturday event to learn everything you need to get started on your business Benefit from ####RT=O enation=O Join=O a=O free=O StartUp=O Saturday=O event=O to=O learn=O everything=O you=O need=O to=O get=O started=O on=O your=O business=O Benefit=O from=O 
114,Practical ####Practical=O 
115,HSBCUK my internet banking has been disabled and can't able to connect customer care Please help ####HSBCUK=O my=O internet=O banking=O has=O been=O disabled=O and=O can't=O able=O to=O connect=O customer=O care=O Please=O help=O 
116,HSBCUK HSBC Where is the INDIA in this list httpstcotyMzZvg ####HSBCUK=O HSBC=O Where=O is=O the=O INDIA=O in=O this=O list=O httpstcotyMzZvg=O 
117,livekylie HSBCUK Yep deleting and re installing has sorted it again now seem to have to do it every iOS update you need the little calculator thing to generate codes tho ####livekylie=O HSBCUK=O Yep=O deleting=O and=O re=O installing=O has=O sorted=O it=O again=O now=O seem=O to=O have=O to=O do=O it=O every=O iOS=O update=O you=O need=O the=O little=O calculator=O thing=O to=O generate=O codes=O tho=O 
118,Steer clear of adverts from a company called Terrie Berrie They take your money and disappear BBCWatchdog MoneySavingExp WhichUK HSBCUK ####Steer=O clear=O of=O adverts=O from=O a=O company=O called=O Terrie=O Berrie=O They=O take=O your=O money=O and=O disappear=O BBCWatchdog=O MoneySavingExp=O WhichUK=O HSBCUK=O 
